"datahora","objeto","valor"
"20260301050000","MOSFTE4",0.24
"20260301050100","MOSFTE4",0.48
"20260301050200","MOSFTE4",0.07
"20260301050300","MOSFTE4",0.10
"20260301050400","MOSFTE4",0.16
"20260301050500","MOSFTE4",0.24
"20260301050600","MOSFTE4",0.22
"20260301050700","MOSFTE4",0.38
"20260301050800","MOSFTE4",0.05
"20260301050900","MOSFTE4",0.00
"20260301051000","MOSFTE4",0.32
"20260301051100","MOSFTE4",0.25
"20260301051200","MOSFTE4",0.39
"20260301051300","MOSFTE4",0.07
"20260301051400","MOSFTE4",0.00
"20260301051500","MOSFTE4",0.24
"20260301051600","MOSFTE4",0.57
"20260301051700","MOSFTE4",0.11
"20260301051800","MOSFTE4",0.00
"20260301051900","MOSFTE4",0.33
"20260301052000","MOSFTE4",0.27
"20260301052100","MOSFTE4",0.03
"20260301052200","MOSFTE4",0.34
"20260301052300","MOSFTE4",0.38
"20260301052400","MOSFTE4",0.24
"20260301052500","MOSFTE4",0.00
"20260301052600","MOSFTE4",0.00
"20260301052700","MOSFTE4",0.30
"20260301052800","MOSFTE4",0.30
"20260301052900","MOSFTE4",0.29
"20260301053000","MOSFTE4",0.24
"20260301053100","MOSFTE4",0.40
"20260301053200","MOSFTE4",0.08
"20260301053300","MOSFTE4",0.25
"20260301053400","MOSFTE4",0.34
"20260301053500","MOSFTE4",0.00
"20260301053600","MOSFTE4",0.38
"20260301053700","MOSFTE4",0.45
"20260301053800","MOSFTE4",0.00
"20260301053900","MOSFTE4",0.12
"20260301054000","MOSFTE4",0.46
"20260301054100","MOSFTE4",0.21
"20260301054200","MOSFTE4",0.43
"20260301054300","MOSFTE4",0.76
"20260301054400","MOSFTE4",0.41
"20260301054500","MOSFTE4",0.48
"20260301054600","MOSFTE4",0.24
"20260301054700","MOSFTE4",0.30
"20260301054800","MOSFTE4",0.22
"20260301054900","MOSFTE4",0.41
"20260301055000","MOSFTE4",0.58
"20260301055100","MOSFTE4",0.48
"20260301055200","MOSFTE4",0.93
"20260301055300","MOSFTE4",0.39
"20260301055400","MOSFTE4",0.36
"20260301055500","MOSFTE4",0.14
"20260301055600","MOSFTE4",0.77
"20260301055700","MOSFTE4",0.48
"20260301055800","MOSFTE4",0.30
"20260301055900","MOSFTE4",0.36
"20260301060000","MOSFTE4",0.93
"20260301060100","MOSFTE4",0.25
"20260301060200","MOSFTE4",0.27
"20260301060300","MOSFTE4",0.37
"20260301060400","MOSFTE4",0.63
"20260301060500","MOSFTE4",0.60
"20260301060600","MOSFTE4",0.18
"20260301060700","MOSFTE4",0.11
"20260301060800","MOSFTE4",0.12
"20260301060900","MOSFTE4",0.67
"20260301061000","MOSFTE4",0.36
"20260301061100","MOSFTE4",0.72
"20260301061200","MOSFTE4",0.22
"20260301061300","MOSFTE4",0.43
"20260301061400","MOSFTE4",0.60
"20260301061500","MOSFTE4",0.70
"20260301061600","MOSFTE4",0.39
"20260301061700","MOSFTE4",0.66
"20260301061800","MOSFTE4",0.82
"20260301061900","MOSFTE4",0.47
"20260301062000","MOSFTE4",0.38
"20260301062100","MOSFTE4",0.39
"20260301062200","MOSFTE4",0.78
"20260301062300","MOSFTE4",0.67
"20260301062400","MOSFTE4",0.71
"20260301062500","MOSFTE4",0.66
"20260301062600","MOSFTE4",0.77
"20260301062700","MOSFTE4",0.97
"20260301062800","MOSFTE4",0.56
"20260301062900","MOSFTE4",0.69
"20260301063000","MOSFTE4",0.67
"20260301063100","MOSFTE4",0.81
"20260301063200","MOSFTE4",0.65
"20260301063300","MOSFTE4",0.76
"20260301063400","MOSFTE4",0.54
"20260301063500","MOSFTE4",0.96
"20260301063600","MOSFTE4",0.56
"20260301063700","MOSFTE4",0.82
"20260301063800","MOSFTE4",0.76
"20260301063900","MOSFTE4",0.95
"20260301064000","MOSFTE4",0.84
"20260301064100","MOSFTE4",0.39
"20260301064200","MOSFTE4",0.70
"20260301064300","MOSFTE4",0.96
"20260301064400","MOSFTE4",0.91
"20260301064500","MOSFTE4",0.51
"20260301064600","MOSFTE4",0.36
"20260301064700","MOSFTE4",0.49
"20260301064800","MOSFTE4",1.02
"20260301064900","MOSFTE4",0.48
"20260301065000","MOSFTE4",0.85
"20260301065100","MOSFTE4",0.80
"20260301065200","MOSFTE4",0.77
"20260301065300","MOSFTE4",0.71
"20260301065400","MOSFTE4",1.05
"20260301065500","MOSFTE4",0.64
"20260301065600","MOSFTE4",0.91
"20260301065700","MOSFTE4",0.93
"20260301065800","MOSFTE4",1.17
"20260301065900","MOSFTE4",0.67
"20260301070000","MOSFTE4",0.60
"20260301070100","MOSFTE4",1.10
"20260301070200","MOSFTE4",1.14
"20260301070300","MOSFTE4",1.16
"20260301070400","MOSFTE4",1.34
"20260301070500","MOSFTE4",1.20
"20260301070600","MOSFTE4",1.04
"20260301070700","MOSFTE4",0.73
"20260301070800","MOSFTE4",1.16
"20260301070900","MOSFTE4",1.15
"20260301071000","MOSFTE4",1.20
"20260301071100","MOSFTE4",1.06
"20260301071200","MOSFTE4",1.07
"20260301071300","MOSFTE4",1.26
"20260301071400","MOSFTE4",1.10
"20260301071500","MOSFTE4",0.64
"20260301071600","MOSFTE4",0.86
"20260301071700","MOSFTE4",1.22
"20260301071800","MOSFTE4",0.88
"20260301071900","MOSFTE4",1.07
"20260301072000","MOSFTE4",1.11
"20260301072100","MOSFTE4",1.02
"20260301072200","MOSFTE4",1.10
"20260301072300","MOSFTE4",1.37
"20260301072400","MOSFTE4",1.47
"20260301072500","MOSFTE4",0.92
"20260301072600","MOSFTE4",1.13
"20260301072700","MOSFTE4",1.34
