"datahora","objeto","valor","watts"
"20260301000000","SCDC2",0.00,0.00
"20260301000100","SCDC2",0.37,4.49
"20260301000200","SCDC2",0.30,3.59
"20260301000300","SCDC2",0.00,0.00
"20260301000400","SCDC2",0.00,0.00
"20260301000500","SCDC2",0.13,1.61
"20260301000600","SCDC2",0.60,7.19
"20260301000700","SCDC2",0.54,6.51
"20260301000800","SCDC2",0.08,0.97
"20260301000900","SCDC2",0.00,0.00
"20260301001000","SCDC2",0.41,4.91
"20260301001100","SCDC2",0.00,0.00
"20260301001200","SCDC2",0.09,1.09
"20260301001300","SCDC2",0.00,0.00
"20260301001400","SCDC2",0.29,3.51
"20260301001500","SCDC2",0.00,0.00
"20260301001600","SCDC2",0.00,0.00
"20260301001700","SCDC2",0.00,0.00
"20260301001800","SCDC2",0.42,5.09
"20260301001900","SCDC2",0.02,0.25
"20260301002000","SCDC2",0.00,0.00
"20260301002100","SCDC2",0.00,0.00
"20260301002200","SCDC2",0.12,1.39
"20260301002300","SCDC2",0.00,0.00
"20260301002400","SCDC2",0.35,4.16
"20260301002500","SCDC2",0.12,1.50
"20260301002600","SCDC2",0.00,0.00
"20260301002700","SCDC2",0.00,0.00
"20260301002800","SCDC2",0.34,4.06
"20260301002900","SCDC2",0.00,0.00
"20260301003000","SCDC2",0.00,0.00
"20260301003100","SCDC2",0.18,2.13
"20260301003200","SCDC2",0.51,6.17
"20260301003300","SCDC2",0.09,1.08
"20260301003400","SCDC2",0.64,7.68
"20260301003500","SCDC2",0.75,8.94
"20260301003600","SCDC2",0.00,0.00
"20260301003700","SCDC2",0.40,4.76
"20260301003800","SCDC2",0.00,0.00
"20260301003900","SCDC2",0.51,6.16
"20260301004000","SCDC2",0.68,8.10
"20260301004100","SCDC2",0.26,3.06
"20260301004200","SCDC2",0.10,1.17
"20260301004300","SCDC2",0.54,6.47
"20260301004400","SCDC2",0.00,0.00
"20260301004500","SCDC2",0.00,0.00
"20260301004600","SCDC2",0.00,0.00
"20260301004700","SCDC2",0.50,5.99
"20260301004800","SCDC2",0.00,0.00
"20260301004900","SCDC2",0.00,0.00
"20260301005000","SCDC2",0.00,0.00
"20260301005100","SCDC2",0.00,0.00
"20260301005200","SCDC2",0.40,4.77
"20260301005300","SCDC2",0.14,1.64
"20260301005400","SCDC2",0.00,0.00
"20260301005500","SCDC2",0.00,0.00
"20260301005600","SCDC2",0.00,0.00
"20260301005700","SCDC2",0.00,0.00
"20260301005800","SCDC2",0.01,0.14
"20260301005900","SCDC2",0.50,5.99
"20260301010000","SCDC2",0.76,9.15
"20260301010100","SCDC2",0.00,0.00
"20260301010200","SCDC2",0.08,1.00
"20260301010300","SCDC2",0.13,1.58
"20260301010400","SCDC2",0.35,4.23
"20260301010500","SCDC2",0.00,0.00
"20260301010600","SCDC2",0.13,1.60
"20260301010700","SCDC2",0.52,6.24
"20260301010800","SCDC2",0.00,0.00
"20260301010900","SCDC2",0.00,0.00
"20260301011000","SCDC2",0.00,0.00
"20260301011100","SCDC2",0.00,0.00
"20260301011200","SCDC2",0.00,0.00
"20260301011300","SCDC2",0.00,0.00
"20260301011400","SCDC2",0.00,0.00
"20260301011500","SCDC2",0.00,0.00
"20260301011600","SCDC2",0.00,0.00
"20260301011700","SCDC2",0.00,0.00
"20260301011800","SCDC2",0.31,3.73
"20260301011900","SCDC2",1.01,12.10
"20260301012000","SCDC2",0.15,1.84
"20260301012100","SCDC2",0.47,5.66
"20260301012200","SCDC2",0.52,6.18
"20260301012300","SCDC2",0.41,4.98
"20260301012400","SCDC2",0.00,0.00
"20260301012500","SCDC2",0.13,1.59
"20260301012600","SCDC2",0.61,7.38
"20260301012700","SCDC2",0.49,5.88
"20260301012800","SCDC2",0.46,5.48
"20260301012900","SCDC2",0.00,0.00
"20260301013000","SCDC2",0.40,4.77
"20260301013100","SCDC2",0.50,5.97
"20260301013200","SCDC2",0.00,0.00
"20260301013300","SCDC2",0.00,0.00
"20260301013400","SCDC2",0.28,3.39
"20260301013500","SCDC2",0.85,10.14
"20260301013600","SCDC2",0.05,0.56
"20260301013700","SCDC2",0.24,2.87
"20260301013800","SCDC2",0.68,8.22
"20260301013900","SCDC2",0.69,8.31
"20260301014000","SCDC2",0.17,2.01
"20260301014100","SCDC2",0.00,0.00
"20260301014200","SCDC2",0.00,0.00
"20260301014300","SCDC2",0.00,0.00
"20260301014400","SCDC2",0.33,4.00
"20260301014500","SCDC2",0.37,4.41
"20260301014600","SCDC2",0.00,0.00
"20260301014700","SCDC2",0.68,8.13
"20260301014800","SCDC2",0.80,9.62
"20260301014900","SCDC2",0.00,0.00
"20260301015000","SCDC2",0.00,0.00
"20260301015100","SCDC2",0.40,4.81
"20260301015200","SCDC2",0.06,0.77
"20260301015300","SCDC2",0.35,4.21
"20260301015400","SCDC2",0.00,0.00
"20260301015500","SCDC2",0.54,6.47
"20260301015600","SCDC2",0.00,0.00
"20260301015700","SCDC2",0.00,0.00
"20260301015800","SCDC2",0.06,0.74
"20260301015900","SCDC2",0.35,4.14
