"datahora","objeto","valor"
"20260301050000","STAX5",40.74
"20260301050100","STAX5",39.86
"20260301050200","STAX5",39.33
"20260301050300","STAX5",38.36
"20260301050400","STAX5",42.08
"20260301050500","STAX5",42.27
"20260301050600","STAX5",40.92
"20260301050700","STAX5",43.78
"20260301050800","STAX5",41.56
"20260301050900","STAX5",39.56
"20260301051000","STAX5",39.21
"20260301051100","STAX5",40.07
"20260301051200","STAX5",39.41
"20260301051300","STAX5",38.86
"20260301051400","STAX5",40.89
"20260301051500","STAX5",41.25
"20260301051600","STAX5",39.19
"20260301051700","STAX5",41.33
"20260301051800","STAX5",41.88
"20260301051900","STAX5",39.57
"20260301052000","STAX5",40.94
"20260301052100","STAX5",40.42
"20260301052200","STAX5",40.22
"20260301052300","STAX5",41.17
"20260301052400","STAX5",37.49
"20260301052500","STAX5",40.28
"20260301052600","STAX5",40.92
"20260301052700","STAX5",39.54
"20260301052800","STAX5",37.59
"20260301052900","STAX5",39.80
"20260301053000","STAX5",39.79
"20260301053100","STAX5",39.45
"20260301053200","STAX5",40.77
"20260301053300","STAX5",38.89
"20260301053400","STAX5",39.75
"20260301053500","STAX5",40.79
"20260301053600","STAX5",39.77
"20260301053700","STAX5",40.86
"20260301053800","STAX5",40.84
"20260301053900","STAX5",38.93
"20260301054000","STAX5",41.66
"20260301054100","STAX5",41.62
"20260301054200","STAX5",39.33
"20260301054300","STAX5",38.50
"20260301054400","STAX5",40.60
"20260301054500","STAX5",38.72
"20260301054600","STAX5",39.45
"20260301054700","STAX5",37.64
"20260301054800","STAX5",36.65
"20260301054900","STAX5",36.50
"20260301055000","STAX5",38.06
"20260301055100","STAX5",40.17
"20260301055200","STAX5",37.05
"20260301055300","STAX5",38.78
"20260301055400","STAX5",38.18
"20260301055500","STAX5",37.91
"20260301055600","STAX5",37.39
"20260301055700","STAX5",37.46
"20260301055800","STAX5",36.09
"20260301055900","STAX5",38.13
"20260301060000","STAX5",37.56
"20260301060100","STAX5",40.03
"20260301060200","STAX5",38.64
"20260301060300","STAX5",38.64
"20260301060400","STAX5",37.16
"20260301060500","STAX5",40.57
"20260301060600","STAX5",37.99
"20260301060700","STAX5",38.28
"20260301060800","STAX5",37.25
"20260301060900","STAX5",36.50
"20260301061000","STAX5",37.23
"20260301061100","STAX5",35.75
"20260301061200","STAX5",35.62
"20260301061300","STAX5",39.30
"20260301061400","STAX5",35.55
"20260301061500","STAX5",39.08
"20260301061600","STAX5",36.37
"20260301061700","STAX5",38.29
"20260301061800","STAX5",38.78
"20260301061900","STAX5",38.08
"20260301062000","STAX5",37.71
"20260301062100","STAX5",36.59
"20260301062200","STAX5",35.86
"20260301062300","STAX5",36.83
"20260301062400","STAX5",36.44
"20260301062500","STAX5",37.00
"20260301062600","STAX5",34.98
"20260301062700","STAX5",34.83
"20260301062800","STAX5",38.18
"20260301062900","STAX5",35.88
"20260301063000","STAX5",36.67
"20260301063100","STAX5",35.14
"20260301063200","STAX5",36.76
"20260301063300","STAX5",37.90
"20260301063400","STAX5",34.75
"20260301063500","STAX5",35.54
"20260301063600","STAX5",37.15
"20260301063700","STAX5",35.61
"20260301063800","STAX5",34.17
"20260301063900","STAX5",39.53
"20260301064000","STAX5",33.57
"20260301064100","STAX5",34.11
"20260301064200","STAX5",34.95
"20260301064300","STAX5",33.84
"20260301064400","STAX5",35.14
"20260301064500","STAX5",35.66
"20260301064600","STAX5",35.65
"20260301064700","STAX5",33.71
"20260301064800","STAX5",35.26
"20260301064900","STAX5",36.19
"20260301065000","STAX5",34.35
"20260301065100","STAX5",36.02
"20260301065200","STAX5",35.04
"20260301065300","STAX5",36.30
"20260301065400","STAX5",35.05
"20260301065500","STAX5",35.80
"20260301065600","STAX5",34.17
"20260301065700","STAX5",36.63
"20260301065800","STAX5",33.75
"20260301065900","STAX5",33.87
"20260301070000","STAX5",32.94
"20260301070100","STAX5",35.06
"20260301070200","STAX5",33.62
"20260301070300","STAX5",32.64
"20260301070400","STAX5",35.10
"20260301070500","STAX5",34.31
"20260301070600","STAX5",33.59
"20260301070700","STAX5",33.52
"20260301070800","STAX5",35.67
"20260301070900","STAX5",32.26
"20260301071000","STAX5",35.60
"20260301071100","STAX5",33.66
"20260301071200","STAX5",35.57
"20260301071300","STAX5",35.31
"20260301071400","STAX5",32.55
"20260301071500","STAX5",34.49
"20260301071600","STAX5",34.19
"20260301071700","STAX5",35.03
"20260301071800","STAX5",32.14
"20260301071900","STAX5",34.48
"20260301072000","STAX5",35.55
"20260301072100","STAX5",35.79
"20260301072200","STAX5",33.01
"20260301072300","STAX5",31.61
"20260301072400","STAX5",34.07
"20260301072500","STAX5",34.97
"20260301072600","STAX5",31.30
"20260301072700","STAX5",33.13
"20260301072800","STAX5",32.78
"20260301072900","STAX5",32.72
"20260301073000","STAX5",32.51
"20260301073100","STAX5",33.30
"20260301073200","STAX5",31.46
"20260301073300","STAX5",33.10
